价格指数_CPI居民消费价格指数_居民消费价格指数(CPI)(1990.1-2017.5)_宏观数据_新浪财经

统计月份, 价格指数, 
2017.5, 101.52, 
2017.4, 101.17, 
2017.3, 100.92, 
2017.2, 100.80, 
2017.1, 102.55, 
2016.12, 102.08, 
2016.11, 102.25, 
2016.10, 102.10, 
2016.9, 101.90, 
2016.8, 101.34, 
2016.7, 101.77, 
2016.6, 101.88, 
2016.5, 102.04, 
2016.4, 102.33, 
2016.3, 102.30, 
2016.2, 102.28, 
2016.1, 101.75, 
2015.12, 101.64, 
2015.11, 101.49, 
2015.10, 101.27, 
2015.9, 101.60, 
2015.8, 101.96, 
2015.7, 101.65, 
2015.6, 101.39, 
2015.5, 101.23, 
2015.4, 101.51, 
2015.3, 101.38, 
2015.2, 101.43, 
2015.1, 100.76, 
2014.12, 101.51, 
2014.11, 101.44, 
2014.10, 101.60, 
2014.9, 101.63, 
2014.8, 101.99, 
2014.7, 102.29, 
2014.6, 102.34, 
2014.5, 102.48, 
2014.4, 101.80, 
2014.3, 102.38, 
2014.2, 101.95, 
2014.1, 102.49, 
2013.12, 102.50, 
2013.11, 103.02, 
2013.10, 103.21, 
2013.9, 103.05, 
2013.8, 102.57, 
2013.7, 102.67, 
2013.6, 102.67, 
2013.5, 102.10, 
2013.4, 102.39, 
2013.3, 102.07, 
2013.2, 103.22, 
2013.1, 102.03, 
2012.12, 102.52, 
2012.11, 102.04, 
2012.10, 101.72, 
2012.9, 101.91, 
2012.8, 102.05, 
2012.7, 101.78, 
2012.6, 102.15, 
2012.5, 103.00, 
2012.4, 103.37, 
2012.3, 103.59, 
2012.2, 103.16, 
2012.1, 104.55, 
2011.12, 104.10, 
2011.11, 104.20, 
2011.10, 105.50, 
2011.9, 106.10, 
2011.8, 106.20, 
2011.7, 106.50, 
2011.6, 106.40, 
2011.5, 105.50, 
2011.4, 105.30, 
2011.3, 105.40, 
2011.2, 104.90, 
2011.1, 104.90, 
2010.12, 104.60, 
2010.11, 105.10, 
2010.10, 104.40, 
2010.9, 103.60, 
2010.8, 103.50, 
2010.7, 103.30, 
2010.6, 102.90, 
2010.5, 103.10, 
2010.4, 102.80, 
2010.3, 102.40, 
2010.2, 102.70, 
2010.1, 101.50, 
2009.12, 101.90, 
2009.11, 100.60, 
2009.10, 99.50, 
2009.9, 99.20, 
2009.8, 98.80, 
2009.7, 98.20, 
2009.6, 98.30, 
2009.5, 98.60, 
2009.4, 98.50, 
2009.3, 98.80, 
2009.2, 98.40, 
2009.1, 101.00, 
2008.12, 101.20, 
2008.11, 102.40, 
2008.10, 104.00, 
2008.9, 104.60, 
2008.8, 104.90, 
2008.7, 106.30, 
2008.6, 107.10, 
2008.5, 107.70, 
2008.4, 108.50, 
2008.3, 108.30, 
2008.2, 108.70, 
2008.1, 107.10, 
2007.12, 106.50, 
2007.11, 106.90, 
2007.10, 106.50, 
2007.9, 106.20, 
2007.8, 106.50, 
2007.7, 105.60, 
2007.6, 104.40, 
2007.5, 103.40, 
2007.4, 103.00, 
2007.3, 103.30, 
2007.2, 102.70, 
2007.1, 102.20, 
2006.12, 102.80, 
2006.11, 101.90, 
2006.10, 101.40, 
2006.9, 101.50, 
2006.8, 101.30, 
2006.7, 101.00, 
2006.6, 101.50, 
2006.5, 101.40, 
2006.4, 101.20, 
2006.3, 100.80, 
2006.2, 100.90, 
2006.1, 101.90, 
2005.12, 101.60, 
2005.11, 101.30, 
2005.10, 101.20, 
2005.9, 100.90, 
2005.8, 101.30, 
2005.7, 101.80, 
2005.6, 101.60, 
2005.5, 101.80, 
2005.4, 101.80, 
2005.3, 102.70, 
2005.2, 103.90, 
2005.1, 101.90, 
2004.12, 102.40, 
2004.11, 102.80, 
2004.10, 104.30, 
2004.9, 105.20, 
2004.8, 105.30, 
2004.7, 105.30, 
2004.6, 105.00, 
2004.5, 104.40, 
2004.4, 103.80, 
2004.3, 103.00, 
2004.2, 102.10, 
2004.1, 103.20, 
2003.12, 103.20, 
2003.11, 103.00, 
2003.10, 101.80, 
2003.9, 101.10, 
2003.8, 100.90, 
2003.7, 100.50, 
2003.6, 100.30, 
2003.5, 100.70, 
2003.4, 101.00, 
2003.3, 100.90, 
2003.2, 100.20, 
2003.1, 100.40, 
2002.12, 99.60, 
2002.11, 99.30, 
2002.10, 99.20, 
2002.9, 99.30, 
2002.8, 99.30, 
2002.7, 99.10, 
2002.6, 99.20, 
2002.5, 98.90, 
