国家财政_财政收支总额及增长_财政收支总额及增长(1950-2015)_宏观数据_新浪财经

统计年度, 财政收入(亿元), 财政支出(亿元), 收支差额(亿元), 财政收入增长速度(%), 财政支出增长速度(%), 财政收入占国内生产总值的比重(%), 
2015, 152269.23, 175877.77, -23608.54, 5.80, 13.20, 22.10, 
2014, 140370.03, 151785.56, -11415.53, 8.60, 8.30, 22.10, 
2013, 129209.64, 140212.10, -11002.46, 10.20, 11.30, 22.00, 
2012, 117253.52, 125952.97, -8699.45, 12.90, 15.30, 22.60, 
2011, 103874.43, 109247.79, -5373.36, 25.00, 21.60, 22.00, 
2010, 83101.51, 89874.16, -6772.65, 21.30, 17.80, 20.70, 
2009, 68518.30, 76299.93, -7781.63, 11.70, 21.90, 20.10, 
2008, 61330.35, 62592.66, -1262.31, 19.50, 25.70, 19.50, 
2007, 51321.78, 49781.35, 1540.43, 32.40, 23.20, 19.30, 
2006, 38760.20, 40422.73, -1662.53, 22.50, 19.10, 17.90, 
2005, 31649.29, 33930.28, -2280.99, 19.90, 19.10, 17.10, 
2004, 26396.47, 28486.89, -2090.42, 21.60, 15.60, 16.50, 
2003, 21715.25, 24649.95, -2934.70, 14.90, 11.80, 16.00, 
2002, 18903.64, 22053.15, -3149.51, 15.40, 16.70, 15.70, 
2001, 16386.04, 18902.58, -2516.54, 22.30, 19.00, 14.90, 
2000, 13395.23, 15886.50, -2491.27, 17.00, 20.50, 13.50, 
1999, 11444.08, 13187.67, -1743.59, 15.90, 22.10, 12.80, 
1998, 9875.95, 10798.18, -922.23, 14.20, 16.90, 11.70, 
1997, 8651.14, 9233.56, -582.42, 16.80, 16.30, 11.00, 
1996, 7407.99, 7937.55, -529.56, 18.70, 16.30, 10.40, 
1995, 6242.20, 6823.72, -581.52, 19.60, 17.80, 10.30, 
1994, 5218.10, 5792.62, -574.52, 20.00, 24.80, 10.80, 
1993, 4348.95, 4642.30, -293.35, 24.80, 24.10, 12.30, 
1992, 3483.37, 3742.20, -258.83, 10.60, 10.50, 12.90, 
1991, 3149.48, 3386.62, -237.14, 7.20, 9.80, 14.50, 
1990, 2937.10, 3083.59, -146.49, 10.20, 9.20, 15.70, 
1989, 2664.90, 2823.78, -158.88, 13.10, 13.30, 15.70, 
1988, 2357.24, 2491.21, -133.97, 7.20, 10.10, 15.70, 
1987, 2199.35, 2262.18, -62.83, 3.60, 2.60, 18.20, 
1986, 2122.01, 2204.91, -82.90, 5.80, 10.00, 20.70, 
1985, 2004.82, 2004.25, 0.57, 22.00, 17.80, 22.20, 
1984, 1642.86, 1701.02, -58.16, 20.20, 20.70, 22.80, 
1983, 1366.95, 1409.52, -42.57, 12.80, 14.60, 22.90, 
1982, 1212.33, 1229.98, -17.65, 3.10, 8.00, 22.80, 
1981, 1175.79, 1138.41, 37.38, 1.40, -7.50, 24.00, 
1980, 1159.93, 1228.83, -68.90, 1.20, -4.10, 25.50, 
1979, 1146.38, 1281.79, -135.41, 1.20, 14.20, 28.20, 
1978, 1132.26, 1122.09, 10.17, 29.50, 33.00, 31.10, 
1977, 874.46, 843.53, 30.93, 12.60, 4.60, 27.30, 
1976, 776.58, 806.20, -29.62, -4.80, -1.80, 26.40, 
1975, 815.61, 820.88, -5.27, 4.10, 3.80, 27.20, 
1974, 783.14, 790.25, -7.11, -3.30, -2.30, 28.10, 
1973, 809.67, 808.78, 0.89, 5.60, 5.60, 29.80, 
1972, 766.56, 765.86, 0.70, 2.90, 4.60, 30.40, 
1971, 744.73, 732.17, 12.56, 12.30, 12.70, 30.70, 
1970, 662.90, 649.41, 13.49, 25.80, 23.50, 29.40, 
1969, 526.76, 525.86, 0.90, 45.80, 47.00, 27.20, 
1968, 361.25, 357.84, 3.41, -13.90, -18.60, 21.00, 
1967, 419.36, 439.84, -20.48, -24.90, -18.20, 23.60, 
1966, 558.71, 537.65, 21.06, 18.00, 16.90, 29.90, 
1965, 473.32, 459.97, 13.35, 18.50, 16.80, 27.60, 
1964, 399.54, 393.79, 5.75, 16.70, 18.60, 27.50, 
1963, 342.25, 332.05, 10.20, 9.20, 12.60, 27.80, 
1962, 313.55, 294.88, 18.67, -11.90, -17.20, 27.30, 
1961, 356.06, 356.09, -0.03, -37.80, -44.70, 29.20, 
1960, 572.29, 643.68, -71.39, 17.50, 18.50, 39.30, 
1959, 487.12, 543.17, -56.05, 28.30, 35.70, 33.90, 
1958, 379.62, 400.36, -20.74, 25.20, 35.30, 29.00, 
1957, 303.20, 295.95, 7.25, 8.20, -0.90, 28.40, 
1956, 280.19, 298.52, -18.33, 12.40, 13.60, 27.30, 
1955, 249.27, 262.73, -13.46, 1.70, 7.60, 27.40, 
1954, 245.17, 244.11, 1.06, 15.00, 11.40, 28.50, 
1953, 213.24, 219.21, -5.97, 22.60, 27.40, 25.90, 
1952, 173.94, 172.07, 1.87, 39.20, 41.00, 25.60, 
1951, 124.96, 122.07, 2.89, 101.00, 79.40, , 
1950, 62.17, 68.05, -5.88, , , , 
