国家财政_各项税收_各项税收(1950-2015)_宏观数据_新浪财经

统计年度, 税收合计(亿元), 增值税(亿元), 营业税(亿元), 消费税(亿元), 关税(亿元), 农业个税(亿元), 企业所得税(亿元), 
2015, 124922.20, 31109.47, 19312.84, 10542.16, 2560.84, , 27133.87, 
2014, 119175.31, 30855.36, 17781.73, 8907.12, 2843.41, , 24642.19, 
2013, 110530.70, 28810.13, 17233.02, 8231.32, 2630.61, , 22427.20, 
2012, 100614.28, 26415.51, 15747.64, 7875.58, 2783.93, , 19654.53, 
2011, 89738.39, 24266.63, 13679.00, 6936.21, 2559.12, , 16769.64, 
2010, 73210.79, 21093.48, 11157.91, 6071.55, 2027.83, , 12843.54, 
2009, 59521.59, 18481.22, 9013.98, 4761.22, 1483.81, , 11536.84, 
2008, 54223.79, 17996.94, 7626.39, 2568.27, 1769.95, , 11175.63, 
2007, 45621.97, 15470.23, 6582.17, 2206.83, 1432.57, , 8779.25, 
2006, 34804.35, 12784.81, 5128.71, 1885.69, 1141.78, , 7039.60, 
2005, 28778.54, 10792.11, 4232.46, 1633.81, 1066.17, , 5343.92, 
2004, 24165.68, 9017.94, 3581.97, 1501.90, 1043.77, , 3957.33, 
2003, 20017.31, 7236.54, 2844.45, 1182.26, 923.13, , 2919.51, 
2002, 17636.45, 6178.39, 2450.33, 1046.32, 704.27, , 3082.79, 
2001, 15301.38, 5357.13, 2064.09, 929.99, 840.52, , 2630.87, 
2000, 12581.51, 4553.17, 1868.78, 858.29, 750.48, , 999.63, 
1999, 10682.58, 3881.87, 1668.56, 820.66, 562.23, , 811.41, 
1998, 9262.80, 3628.46, 1575.08, 814.93, 313.04, , 925.54, 
1997, 8234.04, 3283.92, 1324.27, 678.70, 319.49, , 963.18, 
1996, 6909.82, 2962.81, 1052.57, 620.23, 301.84, , 968.48, 
1995, 6038.04, 2602.33, 865.56, 541.48, 291.83, , 878.44, 
1994, 5126.88, 2308.34, 670.02, 487.40, 272.68, , 708.49, 
1993, 4255.30, 1081.48, 966.09, , 256.47, , 678.60, 
1992, 3296.91, 705.93, 658.67, , 212.75, , 720.78, 
1991, 2990.17, 406.36, 564.00, , 187.28, , 731.13, 
1990, 2821.86, 400.00, 515.75, , 159.01, , 716.00, 
1989, 2727.40, 430.83, 487.30, , 181.54, 84.94, 700.43, 
1988, 2390.47, 384.37, 397.92, , 155.02, 73.69, 676.04, 
1987, 2140.36, 254.20, 302.00, , 142.37, 50.81, 664.71, 
1986, 2090.73, 232.19, 261.07, , 151.62, 44.52, 692.40, 
1985, 2040.79, 147.70, 211.07, , 205.21, , 696.06, 
1984, 947.35, , , , 103.07, 34.84, , 
1983, 775.59, , , , 53.88, 32.96, , 
1982, 700.02, , , , 47.46, 29.38, , 
1981, 629.89, , , , 54.04, 28.35, , 
1980, 571.70, , , , 33.53, , , 
1979, 537.82, , , , 26.00, 29.51, , 
1978, 519.28, , , , 28.76, , , 
1977, 468.27, , , , 26.23, 29.33, , 
1976, 407.96, , , , 15.00, 29.14, , 
1975, 402.77, , , , 15.00, 29.45, , 
1974, 360.40, , , , 14.00, 30.06, , 
1973, 348.95, , , , 9.00, 30.52, , 
1972, 317.02, , , , 5.00, 28.37, , 
1971, 312.56, , , , 5.00, 30.86, , 
1970, 281.20, , , , 7.00, 31.98, , 
1969, 235.44, , , , 6.36, 29.56, , 
1968, 191.56, , , , 6.33, 30.02, , 
1967, 196.63, , , , 3.92, 28.95, , 
1966, 221.96, , , , 6.50, 29.55, , 
1965, 204.30, , , , 5.70, 25.78, , 
1964, 182.00, , , , 4.38, 25.89, , 
1963, 164.31, , , , 4.15, 24.00, , 
1962, 162.07, , , , 4.82, 22.83, , 
1961, 158.76, , , , 6.23, 21.66, , 
1960, 203.65, , , , 6.00, 28.04, , 
1959, 204.71, , , , 7.03, 33.01, , 
1958, 187.36, , , , 6.40, 32.59, , 
1957, 154.89, , , , 5.79, 29.67, , 
1956, 140.88, , , , 5.42, 29.65, , 
1955, 127.45, , , , 4.66, 30.72, , 
1954, 132.18, , , , 4.12, 33.13, , 
1953, 119.67, , , , 5.05, 27.51, , 
1952, 97.69, , , , 4.81, 27.35, , 
1951, 81.13, , , , 6.94, 23.35, , 
1950, 48.98, , , , 3.56, 19.10, , 
