国民经济_季度GDP_国内生产总值(GDP) 季度累计统计(1952.4-2017.1)_宏观数据_新浪财经

统计时间, 国内生产总值(亿元), 国内生产总值同比增长(%), 第一产业增加值(亿元), 第一产业增加值同比增长(%), 第二产业增加值(亿元), 第二产业增加值同比增长(%), 第三产业增加值(亿元), 第三产业增加值同比增长(%), 
2017.1, 180682.70, 6.90, 8654.00, 3.00, 70004.50, 6.40, 102024.20, 7.70, 
2016.4, 744127.20, 6.70, 63670.70, 3.30, 296236.00, 6.10, 384220.50, 7.80, 
2016.3, 532845.90, 6.70, 40665.70, 3.50, 210534.50, 6.10, 281645.70, 7.60, 
2016.2, 342316.40, 6.70, 22096.70, 3.10, 134250.40, 6.10, 184289.60, 7.50, 
2016.1, 161572.70, 6.66, 8803.00, 2.95, 61325.00, 5.82, 91444.70, 7.60, 
2015.4, 689052.10, 6.90, 60862.10, 3.90, 274277.80, 6.00, 346149.70, 8.30, 
2015.3, 496200.20, 6.93, 38344.60, 3.80, 197872.50, 6.01, 254318.10, 8.37, 
2015.2, 319489.70, 7.00, 20257.10, 3.50, 128158.80, 6.10, 164921.30, 8.30, 
2015.1, 150986.70, 7.00, 7770.40, 3.20, 60724.70, 6.30, 82491.60, 8.00, 
2014.4, 635910.20, 7.30, 58336.10, 4.10, 271764.50, 7.30, 305809.70, 7.80, 
2014.3, 457293.30, 7.30, 37247.90, 4.10, 195559.30, 7.50, 224486.10, 7.60, 
2014.2, 294012.20, 7.40, 19990.30, 3.70, 126003.10, 7.60, 148018.80, 7.60, 
2014.1, 138763.80, 7.30, 7540.50, 3.30, 57917.30, 7.30, 73305.90, 7.60, 
2013.4, 595244.40, 7.80, 55329.10, 3.80, 261956.10, 8.00, 277959.30, 8.30, 
2013.3, 426619.30, 7.80, 34605.00, 3.30, 187743.60, 7.90, 204270.70, 8.40, 
2013.2, 273713.90, 7.70, 18011.90, 2.80, 120993.60, 7.70, 134708.40, 8.30, 
2013.1, 129747.00, 7.90, 7169.60, 3.00, 55862.30, 7.80, 66715.00, 8.40, 
2012.4, 534123.00, 7.70, 50892.70, 4.50, 240200.40, 8.20, 243030.00, 8.00, 
2012.3, 383636.60, 7.60, 32496.40, 4.20, 172779.20, 8.10, 178361.00, 7.70, 
2012.2, 246913.70, 7.70, 17652.80, 4.30, 111639.50, 8.50, 117621.50, 7.50, 
2012.1, 116147.90, 8.00, 6725.80, 3.80, 51321.70, 9.30, 58100.30, 7.30, 
2011.4, 472882.00, 9.30, 47486.00, 4.30, 220413.00, 10.30, 204983.00, 9.40, 
2011.3, 321219.10, 9.40, 30340.00, 3.80, 154675.30, 10.80, 136203.80, 9.00, 
2011.2, 205775.40, 9.60, 15700.00, 3.20, 102605.40, 10.90, 87470.00, 9.20, 
2011.1, 97101.20, 9.70, 5980.00, 3.50, 46978.20, 11.10, 44143.00, 9.10, 
2010.4, 401512.80, 10.40, 40533.60, 4.30, 187383.20, 12.30, 173596.00, 9.80, 
2010.3, 272626.70, 10.60, 25623.10, 4.00, 129947.20, 12.60, 117056.40, 9.70, 
