国民经济_支出法GDP结构_支出法国内生产总值结构(1978-2015)_宏观数据_新浪财经

统计年度, 居民消费支出(亿元), 其中:农村居民(亿元), 其中:城镇居民(亿元), 政府消费支出(亿元), 居民消费支出占最终消费支出比例(%), 政府消费支出占最终消费支出比例(%), 农村居民占居民消费支出比例(%), 城镇居民占居民消费支出比例(%), 固定资本形成总额(亿元), 存货增加(亿元), 固定资本形成总额占资本形成总额比例(%), 存货增加占资本形成总额比例(%), 
2015, 264757.61, 58845.53, 205912.08, 94758.74, 73.64, 26.36, 22.23, 77.77, 301960.75, 11109.57, 96.45, 3.55, 
2014, 242539.73, 54366.09, 188173.63, 85772.89, 73.87, 26.13, 22.42, 77.58, 290053.08, 12664.41, 95.82, 4.18, 
2013, 219762.50, 49432.10, 170330.40, 80575.30, 73.17, 26.83, 22.20, 77.80, 270924.10, 11148.80, 96.05, 4.02, 
2012, 198536.80, 43065.40, 153313.94, 73181.80, 73.23, 26.77, 22.60, 77.40, 237750.60, 10639.30, 95.83, 4.36, 
2011, 176532.00, 38969.59, 135456.64, 65047.20, 73.24, 26.76, 23.06, 76.94, 213936.80, 13656.30, 94.15, 5.32, 
2010, 146057.56, 31974.60, 112447.22, 53450.90, 73.40, 26.60, 22.72, 77.28, 181189.60, 10825.80, 94.50, 5.16, 
2009, 126660.90, 29005.33, 94579.29, 46432.10, 73.33, 26.67, 23.47, 76.53, 152917.70, 5383.40, 96.68, 4.73, 
2008, 115338.26, 27677.26, 83993.15, 42408.00, 73.25, 26.75, 24.78, 75.22, 124958.10, 10240.90, 92.59, 7.40, 
2007, 99793.30, 24205.56, 72126.93, 36645.40, 73.25, 26.75, 25.13, 74.87, 102630.00, 6994.60, 93.76, 6.30, 
2006, 82575.50, 21786.00, 60789.50, 30528.40, 73.32, 26.68, 26.40, 73.60, 87954.10, 5000.00, 97.11, 5.40, 
2005, 72958.70, 19958.40, 53000.30, 26398.80, 74.16, 25.84, 27.40, 72.60, 74232.90, 3624.00, 97.78, 4.70, 
2004, 65218.48, 17689.86, 47528.62, 22334.10, 74.74, 25.26, 27.10, 72.90, 65117.70, 4050.70, 94.60, 5.90, 
2003, 57649.81, 16305.72, 41344.10, 20035.70, 74.63, 25.37, 28.30, 71.70, 53490.70, 2472.30, 96.65, 4.40, 
2002, 53056.57, 16271.71, 36784.86, 18759.95, 74.36, 25.64, 30.70, 69.30, 43632.10, 1932.90, 97.05, 4.20, 
2001, 49435.86, 15790.99, 33644.87, 17498.03, 73.98, 26.02, 31.90, 68.10, 37754.50, 2014.90, 94.27, 5.10, 
2000, 45854.60, 15147.40, 30707.20, 15661.40, 74.50, 25.50, 33.00, 67.00, 33844.40, 998.40, 97.10, 2.90, 
1999, 41920.40, 14584.10, 27336.30, 13716.50, 75.30, 24.70, 34.80, 65.20, 30527.30, 2424.20, 92.60, 7.40, 
1998, 39229.30, 14472.00, 24757.30, 12358.90, 76.00, 24.00, 36.90, 63.10, 28569.00, 2745.20, 91.20, 8.80, 
1997, 36921.50, 14575.80, 22345.70, 11219.10, 76.70, 23.30, 39.50, 60.50, 25965.00, 4003.00, 86.60, 13.40, 
1996, 33955.90, 13907.10, 20048.80, 9963.60, 77.30, 22.70, 41.00, 59.00, 24048.10, 4736.80, 83.50, 16.50, 
1995, 28369.70, 11271.60, 17098.10, 8378.50, 77.20, 22.80, 39.70, 60.30, 20885.00, 4585.10, 82.00, 18.00, 
1994, 21844.20, 8875.30, 12968.90, 7398.00, 74.70, 25.30, 40.60, 59.40, 17312.70, 3028.40, 85.10, 14.90, 
1993, 16412.10, 6858.00, 9554.10, 5487.80, 74.90, 25.10, 41.80, 58.20, 13309.20, 2408.50, 84.70, 15.30, 
1992, 13000.10, 5833.50, 7166.60, 4203.20, 75.60, 24.40, 44.90, 55.10, 8513.70, 1572.60, 84.40, 15.60, 
1991, 10730.60, 5082.00, 5648.60, 3361.30, 76.10, 23.90, 47.40, 52.60, 6070.30, 1797.70, 77.20, 22.80, 
1990, 9450.90, 4683.10, 4767.80, 2639.60, 78.20, 21.80, 49.60, 50.40, 4827.80, 1919.20, 71.60, 28.40, 
1989, 8812.60, 4545.70, 4266.90, 2351.60, 78.90, 21.10, 51.60, 48.40, 4419.40, 1913.30, 69.80, 30.20, 
1988, 7868.10, 4174.00, 3694.10, 1971.40, 80.00, 20.00, 53.00, 47.00, 4701.90, 998.30, 82.50, 17.50, 
1987, 6126.10, 3428.90, 2697.20, 1678.50, 78.50, 21.50, 56.00, 44.00, 3798.70, 663.30, 85.10, 14.90, 
1986, 5302.10, 3059.20, 2242.90, 1519.70, 77.70, 22.30, 57.70, 42.30, 3139.70, 802.20, 79.60, 20.40, 
1985, 4687.40, 2809.60, 1877.80, 1298.90, 78.30, 21.70, 59.90, 40.10, 2672.00, 785.50, 77.30, 22.70, 
1984, 3742.00, 2312.10, 1429.90, 1104.30, 77.20, 22.80, 61.80, 38.20, 2147.00, 368.10, 85.40, 14.60, 
1983, 3231.10, 2010.50, 1220.60, 895.30, 78.30, 21.70, 62.20, 37.80, 1723.30, 315.70, 84.50, 15.50, 
1982, 2902.90, 1787.50, 1115.40, 811.90, 78.10, 21.90, 61.60, 38.40, 1503.20, 281.00, 84.30, 15.70, 
1981, 2627.90, 1603.80, 1024.10, 733.60, 78.20, 21.80, 61.00, 39.00, 1339.30, 290.90, 82.20, 17.80, 
1980, 2331.20, 1411.00, 920.20, 676.70, 77.50, 22.50, 60.50, 39.50, 1322.40, 277.30, 82.70, 17.30, 
