居民收入_居民收入与物价信心_全国城镇居民收入与物价信心指数(2001.1-2017.1)_宏观数据_新浪财经

统计时间, 当期收入感受指数, 未来收入信心指数, 当期物价满意指数, 未来物价预期指数, 
2017.1, 52.60, 52.90, 29.60, 61.50, 
2016.4, 51.90, 54.90, 29.20, 67.60, 
2016.3, 46.10, 49.80, 26.70, 62.60, 
2016.2, 45.30, 48.80, 25.00, 60.60, 
2016.1, 46.20, 48.40, 25.20, 57.30, 
2015.4, 45.30, 49.10, 26.30, 63.80, 
2015.3, 47.30, 50.10, 27.80, 63.50, 
2015.2, 48.50, 51.50, 28.40, 60.40, 
2015.1, 50.80, 51.40, 27.70, 59.00, 
2014.4, 49.20, 53.40, 25.40, 64.50, 
2014.3, 49.20, 52.50, 25.10, 64.10, 
2014.2, 48.30, 51.60, 23.20, 63.80, 
2014.1, 50.70, 53.00, 23.60, 63.90, 
2013.4, 50.30, 54.10, 20.50, 72.20, 
2013.3, 49.90, 52.80, 21.40, 70.50, 
2013.2, 50.70, 53.80, 21.80, 66.80, 
2013.1, 54.60, 55.80, 20.00, 66.90, 
2012.4, 51.80, 56.30, 22.00, 70.20, 
2012.3, 50.20, 53.80, 21.00, 67.60, 
2012.2, 50.10, 53.20, 18.20, 65.50, 
2012.1, 51.90, 54.90, 19.70, 62.10, 
2011.4, 50.90, 55.30, 16.50, 65.40, 
2011.3, 50.30, 54.30, 14.80, 74.80, 
2011.2, 52.10, 55.30, 16.80, 72.20, 
2011.1, 54.50, 55.40, 17.30, 72.80, 
2010.4, 51.10, 55.50, 13.80, 81.70, 
2010.3, 51.60, 55.70, 21.90, 73.20, 
2010.2, 49.50, 53.60, 21.70, 70.30, 
2010.1, 55.00, 56.20, 25.90, 65.60, 
2009.4, 51.70, 57.80, 28.20, 73.40, 
2009.3, 49.00, 54.70, 29.50, 66.70, 
2009.2, -8.60, 3.40, -39.80, 11.40, 
2009.1, 11.30, 17.70, -18.50, 7.80, 
2008.4, 7.00, 13.10, -26.90, 6.10, 
2008.3, 15.30, 19.30, -36.80, 33.90, 
2008.2, 17.30, 20.30, -41.60, 43.80, 
2008.1, 29.40, 22.60, -45.90, 40.00, 
2007.4, 21.60, 25.80, -43.90, 61.30, 
2007.3, 21.00, 23.80, -43.60, 55.60, 
2007.2, 24.70, 26.10, -21.10, 46.50, 
2007.1, 32.10, 25.10, -15.90, 38.60, 
2006.4, 22.60, 27.10, -13.90, 48.20, 
2006.3, 18.50, 23.10, -14.00, 40.60, 
2006.2, 17.00, 20.30, -12.10, 31.10, 
2006.1, 22.10, 19.00, -9.10, 18.80, 
2005.4, 14.30, 21.50, -12.40, 37.40, 
2005.3, 14.00, 19.10, -12.50, 30.20, 
2005.2, 13.20, 17.20, -11.10, 24.60, 
2005.1, 23.90, 17.20, -8.20, 19.40, 
2004.4, 14.30, 20.30, -16.20, 34.40, 
2004.3, 11.90, 17.40, -15.40, 33.90, 
2004.2, 11.80, 15.60, -11.80, 32.50, 
2004.1, 17.80, 16.80, 2.90, 23.10, 
2003.4, 12.20, 20.00, -5.80, 43.50, 
2003.3, 10.50, 16.00, 11.90, 14.40, 
2003.2, 5.70, 14.00, 15.00, 8.70, 
2003.1, 17.60, 14.70, 17.60, 6.10, 
2002.4, 12.30, 18.90, 15.20, 18.10, 
2002.3, 9.10, 15.50, 17.30, 8.50, 
2002.2, 10.00, 14.50, 17.70, 3.50, 
2002.1, 20.80, 16.30, 19.80, 3.10, 
2001.4, 12.30, 19.10, 16.30, 12.30, 
2001.3, 9.10, 14.00, 15.50, 12.30, 
2001.2, 9.80, 13.20, 12.10, 11.90, 
2001.1, 9.10, 11.80, 16.10, 9.60, 
