景气指数_制造业PMI_中国制造业采购经理指数(PMI)(2005.1-2017.5)_宏观数据_新浪财经

统计月份, PMI, 生产指数, 新订单指数, 新出口订单指数, 积压订单指数, 产成品库存指数, 采购量指数, 进口指数, 购进价格指数, 原材料库存指数, 从业人员指数, 供应商配送时间指数, 
2017.5, 51.20, 53.40, 52.30, 50.70, 45.40, 46.60, 51.50, 50.00, 49.50, 48.50, 49.40, 50.20, 
2017.4, 51.20, 53.80, 52.30, 50.60, 45.00, 48.20, 51.90, 50.20, 51.80, 48.30, 49.20, 50.50, 
2017.3, 51.80, 54.20, 53.30, 51.00, 46.10, 47.30, 53.40, 50.50, 59.30, 48.30, 50.00, 50.30, 
2017.2, 51.60, 53.70, 53.00, 50.80, 46.00, 47.60, 51.40, 51.20, 64.20, 48.60, 49.70, 50.50, 
2017.1, 51.30, 53.10, 52.80, 50.30, 46.30, 45.00, 52.60, 50.70, 64.50, 48.00, 49.20, 49.80, 
2016.12, 51.40, 53.30, 53.20, 50.10, 46.20, 44.40, 52.10, 50.30, 69.60, 48.00, 48.90, 50.00, 
2016.11, 51.70, 53.90, 53.20, 50.30, 46.70, 45.90, 52.90, 50.60, 68.30, 48.40, 49.20, 49.70, 
2016.10, 51.20, 53.30, 52.80, 49.20, 45.80, 46.90, 52.40, 49.90, 62.60, 48.10, 48.80, 50.20, 
2016.9, 50.40, 52.80, 50.90, 50.10, 45.20, 46.40, 51.90, 50.40, 57.50, 47.40, 48.60, 49.90, 
2016.8, 50.40, 52.60, 51.30, 49.70, 45.00, 46.60, 52.60, 49.50, 57.20, 47.60, 48.40, 50.60, 
2016.7, 49.90, 52.10, 50.40, 49.00, 45.50, 46.80, 50.50, 49.30, 54.60, 47.30, 48.20, 50.50, 
2016.6, 50.00, 52.50, 50.50, 49.60, 45.00, 46.50, 50.50, 49.10, 51.30, 47.00, 47.90, 50.70, 
2016.5, 50.10, 52.30, 50.70, 50.00, 45.10, 46.80, 51.20, 49.60, 55.30, 47.60, 48.20, 50.40, 
2016.4, 50.10, 52.20, 51.00, 50.10, 44.80, 45.50, 51.00, 49.50, 57.60, 47.40, 47.80, 50.10, 
2016.3, 50.20, 52.30, 51.40, 50.20, 45.70, 46.00, 52.60, 50.10, 55.30, 48.20, 48.10, 51.30, 
2016.2, 49.00, 50.20, 48.60, 47.40, 43.90, 46.40, 47.90, 45.80, 50.20, 48.00, 47.60, 49.80, 
2016.1, 49.40, 51.40, 49.50, 46.90, 43.40, 44.60, 49.00, 46.40, 45.10, 46.80, 47.80, 50.50, 
2015.12, 49.70, 52.20, 50.20, 47.50, 43.60, 46.10, 50.30, 47.60, 42.40, 47.60, 47.40, 50.70, 
2015.11, 49.60, 51.90, 49.80, 46.40, 43.00, 46.70, 48.30, 46.70, 41.10, 47.10, 47.60, 50.60, 
2015.10, 49.80, 52.20, 50.30, 47.40, 44.40, 47.20, 48.80, 47.50, 44.40, 47.20, 47.80, 50.60, 
2015.9, 49.80, 52.30, 50.20, 47.90, 43.80, 46.80, 48.60, 48.10, 45.80, 47.50, 47.90, 50.80, 
2015.8, 49.70, 51.70, 49.70, 47.70, 44.60, 47.20, 49.40, 47.20, 44.90, 48.30, 47.90, 50.60, 
2015.7, 50.00, 52.40, 49.90, 47.90, 44.00, 47.40, 50.30, 47.80, 44.70, 48.40, 48.00, 50.40, 
2015.6, 50.20, 52.90, 50.10, 48.20, 44.60, 47.70, 50.90, 48.00, 47.30, 48.70, 48.10, 50.30, 
2015.5, 50.20, 52.90, 50.60, 48.90, 44.70, 47.50, 51.00, 47.60, 49.40, 48.20, 48.20, 50.90, 
2015.4, 50.10, 52.60, 50.20, 48.10, 43.80, 48.00, 50.10, 47.80, 47.80, 48.20, 48.00, 50.40, 
2015.3, 50.10, 52.10, 50.20, 48.30, 44.10, 48.60, 49.70, 48.10, 45.00, 48.00, 48.40, 50.10, 
2015.2, 49.90, 51.40, 50.40, 48.50, 43.80, 47.00, 49.40, 47.50, 43.90, 48.20, 47.80, 49.90, 
2015.1, 49.80, 51.70, 50.20, 48.40, 44.00, 48.00, 49.60, 46.40, 41.90, 47.30, 47.90, 50.20, 
2014.12, 50.10, 52.20, 50.40, 49.10, 43.80, 47.80, 50.10, 47.80, 43.20, 47.50, 48.10, 49.90, 
2014.11, 50.30, 52.50, 50.90, 48.40, 43.90, 47.20, 50.50, 47.30, 44.70, 47.70, 48.20, 50.30, 
2014.10, 50.80, 53.10, 51.60, 49.90, 44.70, 47.90, 50.70, 47.90, 45.10, 48.40, 48.40, 50.10, 
2014.9, 51.10, 53.60, 52.20, 50.20, 45.60, 47.20, 51.20, 48.00, 47.40, 48.80, 48.20, 50.10, 
