景气指数_非制造业PMI_中国非制造业采购经理指数(PMI)(2008.1-2017.5)_宏观数据_新浪财经

统计月份, PMI, 商务活动指数, 新订单指数, 新出口订单指数, 积压订单指数, 存货指数, 中间投入价格指数, 收费价格指数, 从业人员指数, 供应商配送时间指数, 业务活动预期指数, 
2017.5, 54.50, 54.50, 50.90, 48.50, , 46.10, 51.10, , 49.00, , 60.20, 
2017.4, 54.00, 54.00, 50.50, 47.10, , 46.20, 51.70, , 49.50, , 59.70, 
2017.3, 55.10, 55.10, 51.90, 48.80, , 45.80, 52.30, , 49.10, , 61.30, 
2017.2, 54.20, 54.20, 51.20, 50.10, , 45.80, 53.70, , 49.70, , 62.40, 
2017.1, 54.60, 54.60, 51.30, 46.40, , 46.20, 55.10, , 49.80, , 58.90, 
2016.12, 54.50, 54.50, 52.10, 48.90, , 47.20, 56.20, , 50.00, , 59.50, 
2016.11, 54.70, 54.70, 51.80, 50.90, , 45.80, 53.50, , 50.60, , 60.70, 
2016.10, 54.00, 54.00, 50.90, 51.40, , 45.30, 53.70, , 50.00, , 60.60, 
2016.9, 53.70, 53.70, 51.40, 48.30, , 45.90, 51.70, , 49.70, , 61.10, 
2016.8, 53.50, 53.50, 49.80, 48.80, , 45.50, 52.60, , 49.10, , 59.40, 
2016.7, 53.90, 53.90, 49.90, 47.50, , 46.30, 51.40, , 48.50, , 59.50, 
2016.6, 53.70, 53.70, 50.80, 48.60, , 46.00, 51.60, , 48.70, , 58.60, 
2016.5, 53.10, 53.10, 49.20, 49.50, , 45.60, 51.60, , 49.10, , 57.80, 
2016.4, 53.50, 53.50, 48.70, 45.70, , 45.40, 52.10, , 49.20, , 59.10, 
2016.3, 53.80, 53.80, 50.80, 50.80, , 45.90, 51.40, , 48.20, , 59.00, 
2016.2, 52.70, 52.70, 48.70, 47.70, , 45.40, 50.50, , 48.90, , 59.50, 
2016.1, 53.50, 53.50, 49.60, 47.30, , 45.80, 49.90, , 48.80, , 58.40, 
2015.12, 54.40, 54.40, 51.70, 50.90, , 45.50, 49.00, 48.20, 48.90, , 58.30, 
2015.11, 53.60, 53.60, 50.20, 50.20, , 46.60, 49.30, 47.70, 48.40, , 60.00, 
2015.10, 53.10, 53.10, 51.20, 49.50, , 45.90, 51.20, 48.80, 49.60, , 61.10, 
2015.9, 53.40, 53.40, 50.20, 51.10, , 46.10, 50.80, , 49.50, , 60.00, 
2015.8, 53.40, 53.40, 49.60, 46.60, , 45.80, 49.60, , 49.50, , 59.70, 
2015.7, 53.90, 53.90, 50.10, 46.20, , 46.70, 48.90, , 49.20, , 60.00, 
2015.6, 53.80, 53.80, 51.30, 50.10, , 47.00, 50.60, , 49.70, , 59.70, 
2015.5, 53.20, 53.20, 49.50, 47.90, , 46.80, 52.80, , 47.60, , 60.10, 
2015.4, 53.40, 53.40, 49.10, , , , 50.80, , 48.90, , 60.00, 
2015.3, 53.70, 53.70, 50.30, 51.50, , , 50.00, 48.40, 49.00, , 58.80, 
2015.2, 53.90, 53.90, 51.20, 51.20, , , 52.50, 51.20, 49.80, , 58.70, 
2015.1, 53.70, 53.70, 50.20, 53.30, , , 47.60, 46.90, 50.30, , 59.60, 
2014.12, 54.10, 54.10, 50.20, , , , 50.10, 47.30, 49.10, , 59.50, 
2014.11, 53.90, 53.90, 50.10, , , , 50.60, 47.70, 49.50, , 59.70, 
2014.10, 53.80, 53.80, 51.00, , , , 52.00, 48.80, 48.90, , 59.90, 
2014.9, 54.00, 54.00, 49.50, , , , 49.80, 47.30, 49.50, , 60.90, 
2014.8, 54.40, 54.40, 50.00, , , , 52.20, 48.30, 49.60, , 61.20, 
2014.7, 54.20, 54.20, 50.70, , , , 53.40, 49.50, , , 61.50, 
2014.6, 55.00, 55.00, 50.70, , , , 56.00, 50.80, , , 60.40, 
2014.5, 55.50, 55.50, 52.70, , , , 54.50, 49.00, , , 60.70, 
2014.4, 54.80, 54.80, 50.80, , , , 52.40, 49.40, , , 61.50, 
2014.3, 54.50, 54.50, 52.00, , , , 52.80, 49.50, , , 61.50, 
2014.2, 55.00, 55.00, 51.40, , , , 52.10, 49.00, , , 59.90, 
2014.1, 53.40, 53.40, 50.90, , , , 54.50, 50.10, , , 58.10, 
2013.12, 54.60, 54.60, 54.30, , , , 53.80, 50.00, , , 64.60, 
2013.11, 56.00, 56.00, 51.00, , , , 54.80, 49.50, , , 61.30, 
2013.10, 56.30, 56.30, 51.60, , , , 56.10, 51.40, , , 60.50, 
2013.9, 55.40, 55.40, 53.40, , , , 56.70, 50.60, , , 60.10, 
2013.8, 53.90, 53.90, 50.90, , , , 57.10, 51.20, , , 62.90, 
2013.7, 54.10, 54.10, 50.30, , , , 58.20, 52.40, , , 63.90, 
2013.6, 53.90, 53.90, 50.30, , , , 55.00, 50.60, , , 61.80, 
2013.5, 54.30, 54.30, 50.10, , , , 54.40, 50.70, , , 62.90, 
2013.4, 54.50, 54.50, 50.90, , , , 51.10, 47.60, , , 62.50, 
2013.3, 55.60, 55.60, 52.00, , , , 55.30, 50.00, , , 62.40, 
2013.2, 54.50, 54.50, 51.80, , , , 56.20, 51.10, , , 62.70, 
2013.1, 56.20, 56.20, 53.70, , , , 58.20, 50.90, , , 61.40, 
2012.12, 56.10, 56.10, 54.30, 52.50, , , 53.80, 50.00, 52.10, , 64.60, 
2012.11, 55.60, 55.60, 53.20, , , , 52.50, 48.40, , , 64.60, 
2012.10, 55.50, 55.50, 51.60, , , , 58.10, 50.50, , , 63.40, 
2012.9, 53.70, 53.70, 51.80, , , , 57.50, 51.30, , , 60.90, 
2012.8, 56.30, 56.30, 52.70, 49.60, , , 57.60, 51.20, 51.70, , 63.20, 
2012.7, 55.60, 55.60, 53.20, 49.40, , , 49.70, 48.70, 51.40, , 63.90, 
2012.6, 56.70, 56.70, 53.70, 50.50, , , 52.10, 48.60, , , 65.50, 
2012.5, 55.20, 55.20, 52.50, 50.50, , , 53.60, 48.50, , , 65.40, 
2012.4, 56.10, 56.10, 52.70, , , , 57.90, 50.30, , , 66.10, 
2012.3, 58.00, 58.00, 53.50, , , , 60.20, 52.00, , , 66.60, 
2012.2, 57.30, 57.30, 52.70, 45.70, , , 59.00, 51.20, , , 63.80, 
2012.1, 55.70, 55.70, 52.20, 45.80, , , 58.20, 51.10, , , 65.30, 
2011.12, 56.00, 56.00, 50.50, 46.40, , , 57.40, 49.30, , , 61.70, 
2011.11, 49.70, 49.70, 47.20, 45.60, , , 54.40, 48.50, , , 60.70, 
2011.10, 57.70, 57.70, 52.50, 50.40, , , 55.70, 48.70, , , 60.60, 
2011.9, 59.30, 59.30, 52.80, 49.70, , , 59.90, 51.40, , , , 
2011.8, 57.60, 57.60, 54.10, , , , 60.20, 51.40, , , 66.00, 
2011.7, 59.60, 59.60, 55.60, 56.50, , , 63.10, , , , 67.00, 
2011.6, 57.00, 57.00, 53.50, 53.60, , , 61.60, , 54.20, , 67.80, 
2011.5, 61.90, 61.90, 56.50, , , , 62.00, , 54.70, , 68.00, 
2011.4, 62.50, 62.50, 58.30, 55.70, , , 66.70, 55.00, 54.80, , 69.20, 
2011.3, 60.20, 60.20, 55.50, 50.30, , , 63.00, 51.70, , , 70.30, 
2011.2, 44.10, 44.10, 45.10, , , , 64.50, 54.50, , , 68.70, 
2011.1, 56.40, 56.40, 53.10, 49.60, , , , 53.70, , , 68.10, 
2010.12, 56.50, 56.50, 52.30, 50.60, , , 65.90, , , , 66.70, 
