金融信息_贷款利率_贷款利率(1985-07-22-2015-10-24)_宏观数据_新浪财经

利率执行日期, 利率名称, 年利率(%), 
2015-10-24, 短期贷款(六个月以内), 4.35, 
2015-10-24, 短期贷款(六个月至一年), 4.35, 
2015-10-24, 中长期贷款(三至五年), 4.75, 
2015-10-24, 中长期贷款(五年以上), 4.90, 
2015-10-24, 中长期贷款(一至三年), 4.75, 
2015-10-24, 贴现(贴现), , 
2015-10-24, 优惠贷款(扶贫贴息贷款), , 
2015-10-24, 优惠贷款(老少边穷发展经济贷款), , 
2015-10-24, 优惠贷款(民政部门福利工厂贷款), , 
2015-10-24, 优惠贷款(民族贸易及民族用品生产贷款), , 
2015-10-24, 优惠贷款(贫困县办工业贷款), , 
2015-10-24, 个人住房商业贷款(六个月以内), 3.92, 
2015-10-24, 个人住房商业贷款(六个月至一年), 3.92, 
2015-10-24, 个人住房商业贷款(三至五年), 4.28, 
2015-10-24, 个人住房商业贷款(五年以上), 4.41, 
2015-10-24, 个人住房商业贷款(一至三年), 4.28, 
2015-10-24, 个人住房公积金贷款(五年以上), 3.25, 
2015-10-24, 个人住房公积金贷款(五年以下), 2.75, 
2015-09-06, 再贴现(再贴现率), 2.25, 
2015-08-26, 短期贷款(六个月以内), 4.60, 
2015-08-26, 短期贷款(六个月至一年), 4.60, 
2015-08-26, 中长期贷款(三至五年), 5.00, 
2015-08-26, 中长期贷款(五年以上), 5.15, 
2015-08-26, 中长期贷款(一至三年), 5.00, 
2015-08-26, 贴现(贴现), , 
2015-08-26, 优惠贷款(扶贫贴息贷款), , 
2015-08-26, 优惠贷款(老少边穷发展经济贷款), , 
2015-08-26, 优惠贷款(民政部门福利工厂贷款), , 
2015-08-26, 优惠贷款(民族贸易及民族用品生产贷款), , 
2015-08-26, 优惠贷款(贫困县办工业贷款), , 
2015-08-26, 个人住房商业贷款(六个月以内), 4.14, 
2015-08-26, 个人住房商业贷款(六个月至一年), 4.14, 
2015-08-26, 个人住房商业贷款(三至五年), 4.50, 
2015-08-26, 个人住房商业贷款(五年以上), 4.63, 
2015-08-26, 个人住房商业贷款(一至三年), 4.50, 
2015-08-26, 个人住房公积金贷款(五年以上), 3.25, 
2015-08-26, 个人住房公积金贷款(五年以下), 2.75, 
2015-06-28, 短期贷款(六个月以内), 4.85, 
2015-06-28, 短期贷款(六个月至一年), 4.85, 
2015-06-28, 中长期贷款(三至五年), 5.25, 
2015-06-28, 中长期贷款(五年以上), 5.40, 
2015-06-28, 中长期贷款(一至三年), 5.25, 
2015-06-28, 贴现(贴现), , 
2015-06-28, 优惠贷款(扶贫贴息贷款), , 
2015-06-28, 优惠贷款(老少边穷发展经济贷款), , 
2015-06-28, 优惠贷款(民政部门福利工厂贷款), , 
2015-06-28, 优惠贷款(民族贸易及民族用品生产贷款), , 
2015-06-28, 优惠贷款(贫困县办工业贷款), , 
2015-06-28, 个人住房商业贷款(六个月以内), 4.37, 
2015-06-28, 个人住房商业贷款(六个月至一年), 4.37, 
2015-06-28, 个人住房商业贷款(三至五年), 4.72, 
2015-06-28, 个人住房商业贷款(五年以上), 4.86, 
2015-06-28, 个人住房商业贷款(一至三年), 4.72, 
2015-06-28, 个人住房公积金贷款(五年以上), 3.50, 
2015-06-28, 个人住房公积金贷款(五年以下), 3.00, 
2015-05-11, 短期贷款(六个月以内), 5.10, 
2015-05-11, 短期贷款(六个月至一年), 5.10, 
2015-05-11, 中长期贷款(三至五年), 5.50, 
2015-05-11, 中长期贷款(五年以上), 5.65, 
2015-05-11, 中长期贷款(一至三年), 5.50, 
2015-05-11, 贴现(贴现), , 
2015-05-11, 优惠贷款(扶贫贴息贷款), , 
2015-05-11, 优惠贷款(老少边穷发展经济贷款), , 
2015-05-11, 优惠贷款(民政部门福利工厂贷款), , 
2015-05-11, 优惠贷款(民族贸易及民族用品生产贷款), , 
2015-05-11, 优惠贷款(贫困县办工业贷款), , 
2015-05-11, 个人住房商业贷款(六个月以内), 4.59, 
2015-05-11, 个人住房商业贷款(六个月至一年), 4.59, 
2015-05-11, 个人住房商业贷款(三至五年), 4.95, 
2015-05-11, 个人住房商业贷款(五年以上), 5.08, 
2015-05-11, 个人住房商业贷款(一至三年), 4.95, 
2015-05-11, 个人住房公积金贷款(五年以上), 3.75, 
2015-05-11, 个人住房公积金贷款(五年以下), 3.25, 
2015-03-01, 短期贷款(六个月以内), 5.35, 
2015-03-01, 短期贷款(六个月至一年), 5.35, 
2015-03-01, 中长期贷款(三至五年), 5.75, 
2015-03-01, 中长期贷款(五年以上), 5.90, 
2015-03-01, 中长期贷款(一至三年), 5.75, 
2015-03-01, 贴现(贴现), , 
2015-03-01, 优惠贷款(扶贫贴息贷款), , 
2015-03-01, 优惠贷款(老少边穷发展经济贷款), , 
2015-03-01, 优惠贷款(民政部门福利工厂贷款), , 
2015-03-01, 优惠贷款(民族贸易及民族用品生产贷款), , 
2015-03-01, 优惠贷款(贫困县办工业贷款), , 
2015-03-01, 个人住房商业贷款(六个月以内), 4.82, 
2015-03-01, 个人住房商业贷款(六个月至一年), 4.82, 
2015-03-01, 个人住房商业贷款(三至五年), 5.17, 
2015-03-01, 个人住房商业贷款(五年以上), 5.31, 
2015-03-01, 个人住房商业贷款(一至三年), 5.17, 
2015-03-01, 个人住房公积金贷款(五年以上), 4.00, 
2015-03-01, 个人住房公积金贷款(五年以下), 3.50, 
2014-11-22, 短期贷款(六个月以内), 5.60, 
2014-11-22, 短期贷款(六个月至一年), 5.60, 
2014-11-22, 中长期贷款(三至五年), 6.00, 
2014-11-22, 中长期贷款(五年以上), 6.15, 
2014-11-22, 中长期贷款(一至三年), 6.00, 
2014-11-22, 贴现(贴现), , 
2014-11-22, 优惠贷款(扶贫贴息贷款), , 
2014-11-22, 优惠贷款(老少边穷发展经济贷款), , 
2014-11-22, 优惠贷款(民政部门福利工厂贷款), , 
2014-11-22, 优惠贷款(民族贸易及民族用品生产贷款), , 
2014-11-22, 优惠贷款(贫困县办工业贷款), , 
2014-11-22, 个人住房商业贷款(六个月以内), 5.04, 
2014-11-22, 个人住房商业贷款(六个月至一年), 5.04, 
2014-11-22, 个人住房商业贷款(三至五年), 5.40, 
2014-11-22, 个人住房商业贷款(五年以上), 5.54, 
2014-11-22, 个人住房商业贷款(一至三年), 5.40, 
2014-11-22, 个人住房公积金贷款(五年以上), 4.25, 
2014-11-22, 个人住房公积金贷款(五年以下), 3.75, 
2012-07-06, 短期贷款(六个月以内), 5.60, 
2012-07-06, 短期贷款(六个月至一年), 6.00, 
2012-07-06, 中长期贷款(三至五年), 6.40, 
2012-07-06, 中长期贷款(五年以上), 6.55, 
2012-07-06, 中长期贷款(一至三年), 6.15, 
2012-07-06, 贴现(贴现), , 
2012-07-06, 优惠贷款(扶贫贴息贷款), , 
2012-07-06, 优惠贷款(老少边穷发展经济贷款), , 
2012-07-06, 优惠贷款(民政部门福利工厂贷款), , 
2012-07-06, 优惠贷款(民族贸易及民族用品生产贷款), , 
2012-07-06, 优惠贷款(贫困县办工业贷款), , 
2012-07-06, 个人住房商业贷款(六个月以内), 5.04, 
2012-07-06, 个人住房商业贷款(六个月至一年), 5.40, 
2012-07-06, 个人住房商业贷款(三至五年), 5.76, 
2012-07-06, 个人住房商业贷款(五年以上), 5.89, 
2012-07-06, 个人住房商业贷款(一至三年), 5.54, 
2012-07-06, 个人住房公积金贷款(五年以上), 4.50, 
2012-07-06, 个人住房公积金贷款(五年以下), 4.00, 
2012-06-08, 短期贷款(六个月以内), 5.85, 
2012-06-08, 短期贷款(六个月至一年), 6.31, 
2012-06-08, 中长期贷款(三至五年), 6.65, 
2012-06-08, 中长期贷款(五年以上), 6.80, 
2012-06-08, 中长期贷款(一至三年), 6.40, 
2012-06-08, 贴现(贴现), , 
2012-06-08, 优惠贷款(扶贫贴息贷款), 3.00, 
2012-06-08, 优惠贷款(老少边穷发展经济贷款), 3.18, 
2012-06-08, 优惠贷款(民政部门福利工厂贷款), 4.62, 
2012-06-08, 优惠贷款(民族贸易及民族用品生产贷款), 3.43, 
2012-06-08, 优惠贷款(贫困县办工业贷款), 3.18, 
2012-06-08, 个人住房商业贷款(六个月以内), 5.26, 
2012-06-08, 个人住房商业贷款(六个月至一年), 5.68, 
2012-06-08, 个人住房商业贷款(三至五年), 5.99, 
2012-06-08, 个人住房商业贷款(五年以上), 6.12, 
2012-06-08, 个人住房商业贷款(一至三年), 5.76, 
2012-06-08, 个人住房公积金贷款(五年以上), 4.70, 
2012-06-08, 个人住房公积金贷款(五年以下), 4.20, 
2011-07-07, 短期贷款(六个月以内), 6.10, 
2011-07-07, 短期贷款(六个月至一年), 6.56, 
2011-07-07, 中长期贷款(三至五年), 6.90, 
2011-07-07, 中长期贷款(五年以上), 7.05, 
2011-07-07, 中长期贷款(一至三年), 6.65, 
2011-07-07, 贴现(贴现), , 
2011-07-07, 优惠贷款(扶贫贴息贷款), 3.00, 
2011-07-07, 优惠贷款(老少边穷发展经济贷款), 3.18, 
2011-07-07, 优惠贷款(民政部门福利工厂贷款), 4.62, 
2011-07-07, 优惠贷款(民族贸易及民族用品生产贷款), 3.68, 
2011-07-07, 优惠贷款(贫困县办工业贷款), 3.18, 
2011-07-07, 个人住房商业贷款(六个月以内), 5.49, 
2011-07-07, 个人住房商业贷款(六个月至一年), 5.90, 
2011-07-07, 个人住房商业贷款(三至五年), 6.21, 
2011-07-07, 个人住房商业贷款(五年以上), 6.34, 
2011-07-07, 个人住房商业贷款(一至三年), 5.99, 
2011-07-07, 个人住房公积金贷款(五年以上), 4.90, 
2011-07-07, 个人住房公积金贷款(五年以下), 4.45, 
2011-04-06, 短期贷款(六个月以内), 5.85, 
2011-04-06, 短期贷款(六个月至一年), 6.31, 
2011-04-06, 中长期贷款(三至五年), 6.65, 
2011-04-06, 中长期贷款(五年以上), 6.80, 
2011-04-06, 中长期贷款(一至三年), 6.40, 
2011-04-06, 贴现(贴现), , 
2011-04-06, 优惠贷款(扶贫贴息贷款), 3.00, 
2011-04-06, 优惠贷款(老少边穷发展经济贷款), 3.18, 
2011-04-06, 优惠贷款(民政部门福利工厂贷款), 4.62, 
2011-04-06, 优惠贷款(民族贸易及民族用品生产贷款), 3.43, 
2011-04-06, 优惠贷款(贫困县办工业贷款), 3.18, 
2011-04-06, 个人住房商业贷款(六个月以内), 5.26, 
2011-04-06, 个人住房商业贷款(六个月至一年), 5.68, 
2011-04-06, 个人住房商业贷款(三至五年), 5.99, 
2011-04-06, 个人住房商业贷款(五年以上), 6.12, 
2011-04-06, 个人住房商业贷款(一至三年), 5.76, 
2011-04-06, 个人住房公积金贷款(五年以上), 4.70, 
2011-04-06, 个人住房公积金贷款(五年以下), 4.20, 
2011-02-09, 短期贷款(六个月以内), 5.60, 
2011-02-09, 短期贷款(六个月至一年), 6.06, 
2011-02-09, 中长期贷款(三至五年), 6.45, 
2011-02-09, 中长期贷款(五年以上), 6.60, 
2011-02-09, 中长期贷款(一至三年), 6.10, 
2011-02-09, 贴现(贴现), , 
2011-02-09, 优惠贷款(扶贫贴息贷款), 3.00, 
2011-02-09, 优惠贷款(老少边穷发展经济贷款), 3.18, 
2011-02-09, 优惠贷款(民政部门福利工厂贷款), 4.62, 
2011-02-09, 优惠贷款(民族贸易及民族用品生产贷款), 3.18, 
2011-02-09, 优惠贷款(贫困县办工业贷款), 3.18, 
2011-02-09, 个人住房商业贷款(六个月以内), 5.04, 
2011-02-09, 个人住房商业贷款(六个月至一年), 5.45, 
2011-02-09, 个人住房商业贷款(三至五年), 5.80, 
2011-02-09, 个人住房商业贷款(五年以上), 5.94, 
2011-02-09, 个人住房商业贷款(一至三年), 5.49, 
2011-02-09, 个人住房公积金贷款(五年以上), 4.50, 
2011-02-09, 个人住房公积金贷款(五年以下), 4.00, 
2010-12-26, 短期贷款(六个月以内), 5.35, 
2010-12-26, 短期贷款(六个月至一年), 5.81, 
2010-12-26, 中长期贷款(三至五年), 6.22, 
2010-12-26, 中长期贷款(五年以上), 6.40, 
2010-12-26, 中长期贷款(一至三年), 5.85, 
2010-12-26, 贴现(贴现), , 
2010-12-26, 再贴现(再贴现率), 2.25, 
2010-12-26, 优惠贷款(扶贫贴息贷款), 3.00, 
2010-12-26, 优惠贷款(老少边穷发展经济贷款), 2.93, 
2010-12-26, 优惠贷款(民政部门福利工厂贷款), 4.37, 
2010-12-26, 优惠贷款(民族贸易及民族用品生产贷款), 2.93, 
2010-12-26, 优惠贷款(贫困县办工业贷款), 2.93, 
2010-12-26, 个人住房商业贷款(六个月以内), 4.82, 
2010-12-26, 个人住房商业贷款(六个月至一年), 5.23, 
2010-12-26, 个人住房商业贷款(三至五年), 5.60, 
2010-12-26, 个人住房商业贷款(五年以上), 5.76, 
2010-12-26, 个人住房商业贷款(一至三年), 5.26, 
2010-12-26, 个人住房公积金贷款(五年以上), 4.30, 
2010-12-26, 个人住房公积金贷款(五年以下), 3.75, 
2010-10-20, 短期贷款(六个月以内), 5.10, 
2010-10-20, 短期贷款(六个月至一年), 5.56, 
2010-10-20, 中长期贷款(三至五年), 5.96, 
2010-10-20, 中长期贷款(五年以上), 6.14, 
2010-10-20, 中长期贷款(一至三年), 5.60, 
2010-10-20, 贴现(贴现), , 
2010-10-20, 优惠贷款(扶贫贴息贷款), 3.00, 
2010-10-20, 优惠贷款(老少边穷发展经济贷款), 2.68, 
2010-10-20, 优惠贷款(民政部门福利工厂贷款), 4.12, 
2010-10-20, 优惠贷款(民族贸易及民族用品生产贷款), 2.68, 
2010-10-20, 优惠贷款(贫困县办工业贷款), 2.68, 
2010-10-20, 个人住房商业贷款(六个月以内), 4.59, 
2010-10-20, 个人住房商业贷款(六个月至一年), 5.00, 
2010-10-20, 个人住房商业贷款(三至五年), 5.36, 
2010-10-20, 个人住房商业贷款(五年以上), 5.53, 
2010-10-20, 个人住房商业贷款(一至三年), 5.04, 
2010-10-20, 个人住房公积金贷款(五年以上), 4.05, 
2010-10-20, 个人住房公积金贷款(五年以下), 3.50, 
2008-12-23, 短期贷款(六个月以内), 4.86, 
2008-12-23, 短期贷款(六个月至一年), 5.31, 
2008-12-23, 中长期贷款(三至五年), 5.76, 
2008-12-23, 中长期贷款(五年以上), 5.94, 
2008-12-23, 中长期贷款(一至三年), 5.40, 
2008-12-23, 贴现(贴现), , 
2008-12-23, 再贴现(再贴现率), 1.80, 
2008-12-23, 优惠贷款(扶贫贴息贷款), 3.00, 
2008-12-23, 优惠贷款(老少边穷发展经济贷款), 2.43, 
2008-12-23, 优惠贷款(民政部门福利工厂贷款), 3.87, 
2008-12-23, 优惠贷款(民族贸易及民族用品生产贷款), 2.43, 
2008-12-23, 优惠贷款(贫困县办工业贷款), 2.43, 
2008-12-23, 个人住房商业贷款(六个月以内), 4.37, 
2008-12-23, 个人住房商业贷款(六个月至一年), 4.78, 
2008-12-23, 个人住房商业贷款(三至五年), 5.18, 
2008-12-23, 个人住房商业贷款(五年以上), 5.35, 
2008-12-23, 个人住房商业贷款(一至三年), 4.86, 
2008-12-23, 个人住房公积金贷款(五年以上), 3.87, 
2008-12-23, 个人住房公积金贷款(五年以下), 3.33, 
2008-11-27, 短期贷款(六个月以内), 5.04, 
2008-11-27, 短期贷款(六个月至一年), 5.58, 
2008-11-27, 中长期贷款(三至五年), 5.94, 
2008-11-27, 中长期贷款(五年以上), 6.12, 
2008-11-27, 中长期贷款(一至三年), 5.67, 
2008-11-27, 贴现(贴现), , 
2008-11-27, 再贴现(再贴现率), 2.97, 
2008-11-27, 优惠贷款(扶贫贴息贷款), 3.00, 
2008-11-27, 优惠贷款(老少边穷发展经济贷款), 2.70, 
2008-11-27, 优惠贷款(民政部门福利工厂贷款), 4.14, 
2008-11-27, 优惠贷款(民族贸易及民族用品生产贷款), 2.70, 
2008-11-27, 优惠贷款(贫困县办工业贷款), 2.70, 
2008-11-27, 个人住房商业贷款(六个月以内), 4.54, 
2008-11-27, 个人住房商业贷款(六个月至一年), 5.02, 
2008-11-27, 个人住房商业贷款(三至五年), 5.35, 
2008-11-27, 个人住房商业贷款(五年以上), 5.51, 
2008-11-27, 个人住房商业贷款(一至三年), 5.10, 
2008-11-27, 个人住房公积金贷款(五年以上), 4.05, 
2008-11-27, 个人住房公积金贷款(五年以下), 3.51, 
2008-10-30, 短期贷款(六个月以内), 6.03, 
2008-10-30, 短期贷款(六个月至一年), 6.66, 
2008-10-30, 中长期贷款(三至五年), 7.02, 
2008-10-30, 中长期贷款(五年以上), 7.20, 
2008-10-30, 中长期贷款(一至三年), 6.75, 
2008-10-30, 贴现(贴现), , 
2008-10-30, 优惠贷款(扶贫贴息贷款), 3.00, 
2008-10-30, 优惠贷款(老少边穷发展经济贷款), 3.78, 
2008-10-30, 优惠贷款(民政部门福利工厂贷款), 5.22, 
2008-10-30, 优惠贷款(民族贸易及民族用品生产贷款), 3.78, 
2008-10-30, 优惠贷款(贫困县办工业贷款), 3.78, 
2008-10-30, 个人住房商业贷款(六个月以内), 5.43, 
2008-10-30, 个人住房商业贷款(六个月至一年), 5.99, 
2008-10-30, 个人住房商业贷款(三至五年), 6.32, 
2008-10-30, 个人住房商业贷款(五年以上), 6.48, 
2008-10-30, 个人住房商业贷款(一至三年), 6.08, 
2008-10-30, 个人住房公积金贷款(五年以上), 4.59, 
2008-10-30, 个人住房公积金贷款(五年以下), 4.05, 
2008-10-09, 短期贷款(六个月以内), 6.12, 
2008-10-09, 短期贷款(六个月至一年), 6.93, 
2008-10-09, 中长期贷款(三至五年), 7.29, 
2008-10-09, 中长期贷款(五年以上), 7.47, 
2008-10-09, 中长期贷款(一至三年), 7.02, 
2008-10-09, 贴现(贴现), , 
2008-10-09, 优惠贷款(扶贫贴息贷款), 3.00, 
2008-10-09, 优惠贷款(老少边穷发展经济贷款), 4.05, 
2008-10-09, 优惠贷款(民政部门福利工厂贷款), 5.49, 
2008-10-09, 优惠贷款(民族贸易及民族用品生产贷款), 4.05, 
2008-10-09, 优惠贷款(贫困县办工业贷款), 4.05, 
2008-10-09, 个人住房商业贷款(六个月以内), 5.51, 
2008-10-09, 个人住房商业贷款(六个月至一年), 6.24, 
2008-10-09, 个人住房商业贷款(三至五年), 6.56, 
2008-10-09, 个人住房商业贷款(五年以上), 6.72, 
2008-10-09, 个人住房商业贷款(一至三年), 6.32, 
2008-10-09, 个人住房公积金贷款(五年以上), 4.86, 
2008-10-09, 个人住房公积金贷款(五年以下), 4.32, 
2008-09-16, 短期贷款(六个月以内), 6.21, 
2008-09-16, 短期贷款(六个月至一年), 7.20, 
2008-09-16, 中长期贷款(三至五年), 7.56, 
2008-09-16, 中长期贷款(五年以上), 7.74, 
2008-09-16, 中长期贷款(一至三年), 7.29, 
2008-09-16, 贴现(贴现), , 
2008-09-16, 优惠贷款(扶贫贴息贷款), 3.00, 
2008-09-16, 优惠贷款(老少边穷发展经济贷款), 4.32, 
2008-09-16, 优惠贷款(民政部门福利工厂贷款), 5.76, 
2008-09-16, 优惠贷款(民族贸易及民族用品生产贷款), 4.32, 
2008-09-16, 优惠贷款(贫困县办工业贷款), 4.32, 
2008-09-16, 个人住房商业贷款(六个月以内), 5.59, 
2008-09-16, 个人住房商业贷款(六个月至一年), 6.48, 
2008-09-16, 个人住房商业贷款(三至五年), 6.80, 
2008-09-16, 个人住房商业贷款(五年以上), 6.97, 
2008-09-16, 个人住房商业贷款(一至三年), 6.56, 
2008-09-16, 个人住房公积金贷款(五年以上), 5.13, 
2008-09-16, 个人住房公积金贷款(五年以下), 4.59, 
2008-01-01, 再贴现(再贴现率), 4.32, 
2007-12-21, 短期贷款(六个月以内), 6.57, 
2007-12-21, 短期贷款(六个月至一年), 7.47, 
2007-12-21, 中长期贷款(三至五年), 7.74, 
2007-12-21, 中长期贷款(五年以上), 7.83, 
2007-12-21, 中长期贷款(一至三年), 7.56, 
2007-12-21, 贴现(贴现), , 
2007-12-21, 优惠贷款(扶贫贴息贷款), 3.00, 
2007-12-21, 优惠贷款(老少边穷发展经济贷款), 4.59, 
2007-12-21, 优惠贷款(民政部门福利工厂贷款), 6.03, 
2007-12-21, 优惠贷款(民族贸易及民族用品生产贷款), 4.59, 
2007-12-21, 优惠贷款(贫困县办工业贷款), 4.59, 
2007-12-21, 个人住房商业贷款(六个月以内), 5.91, 
2007-12-21, 个人住房商业贷款(六个月至一年), 6.72, 
2007-12-21, 个人住房商业贷款(三至五年), 6.97, 
2007-12-21, 个人住房商业贷款(五年以上), 7.05, 
2007-12-21, 个人住房商业贷款(一至三年), 6.80, 
2007-12-21, 个人住房公积金贷款(五年以上), 5.22, 
2007-12-21, 个人住房公积金贷款(五年以下), 4.77, 
2007-09-15, 短期贷款(六个月以内), 6.48, 
2007-09-15, 短期贷款(六个月至一年), 7.29, 
2007-09-15, 中长期贷款(三至五年), 7.65, 
