金融信息_存款准备金率_人民币存款准备金率变动(1985-12-31-2016-03-01)_宏观数据_新浪财经

变动日期, 调整前存款准备金率(%), 调整后存款准备金率(%), 调整幅度(%), 
2016-03-01, 17.00, 16.50, -0.50, 
2015-10-24, 17.50, 17.00, -0.50, 
2015-09-06, 18.00, 17.50, -0.50, 
2015-06-28, 18.50, 18.00, -0.50, 
2015-04-20, 19.50, 18.50, -1.00, 
2015-02-05, 20.00, 19.50, -0.50, 
2012-05-18, 20.50, 20.00, -0.50, 
2012-02-24, 21.00, 20.50, -0.50, 
2011-12-05, 21.50, 21.00, -0.50, 
2011-06-20, 21.00, 21.50, 0.50, 
2011-05-18, 20.50, 21.00, 0.50, 
2011-04-21, 20.00, 20.50, 0.50, 
2011-03-25, 19.50, 20.00, 0.50, 
2011-02-24, 19.00, 19.50, 0.50, 
2011-01-20, 18.50, 19.00, 0.50, 
2010-12-20, 18.00, 18.50, 0.50, 
2010-11-29, 17.50, 18.00, 0.50, 
2010-11-16, 17.00, 17.50, 0.50, 
2010-05-10, 16.50, 17.00, 0.50, 
2010-02-25, 16.00, 16.50, 0.50, 
2010-01-18, 15.50, 16.00, 0.50, 
2008-12-25, 16.00, 15.50, -0.50, 
2008-12-05, 17.00, 16.00, -1.00, 
2008-10-15, 17.50, 17.00, -0.50, 
2008-09-25, 17.50, 17.50, 0.00, 
2008-06-25, 17.00, 17.50, 0.50, 
2008-06-15, 16.50, 17.00, 0.50, 
2008-05-20, 16.00, 16.50, 0.50, 
2008-04-25, 15.50, 16.00, 0.50, 
2008-03-25, 15.00, 15.50, 0.50, 
2008-01-25, 14.50, 15.00, 0.50, 
2007-12-25, 13.50, 14.50, 1.00, 
2007-11-26, 13.00, 13.50, 0.50, 
2007-10-25, 12.50, 13.00, 0.50, 
2007-09-25, 12.00, 12.50, 0.50, 
2007-08-15, 11.50, 12.00, 0.50, 
2007-06-05, 11.00, 11.50, 0.50, 
2007-05-15, 10.50, 11.00, 0.50, 
2007-04-16, 10.00, 10.50, 0.50, 
2007-02-25, 9.50, 10.00, 0.50, 
2007-01-15, 9.00, 9.50, 0.50, 
2006-11-15, 8.50, 9.00, 0.50, 
2006-08-15, 8.00, 8.50, 0.50, 
2006-07-05, 7.50, 8.00, 0.50, 
2004-04-25, 7.00, 7.50, 0.50, 
2003-09-21, 6.00, 7.00, 1.00, 
1999-11-21, 8.00, 6.00, -2.00, 
1998-03-21, 13.00, 8.00, -5.00, 
1988-09-30, 12.00, 13.00, 1.00, 
1987-12-31, 10.00, 12.00, 2.00, 
1985-12-31, , 10.00, , 
