金融信息_央行汇率_央行汇率(1999.12-2017.5)_宏观数据_新浪财经

统计时间, 一特别提款权单位折合人民币元(期末数)(元), 一美元折合人民币(期末数)(元), 一美元折合人民币(平均数)(元), 
2017.5, 9.48, 6.86, 6.88, 
2017.4, 9.45, 6.89, 6.88, 
2017.3, 9.36, 6.90, 6.89, 
2017.2, 9.31, 6.88, 6.87, 
2017.1, 9.32, 6.86, 6.89, 
2016.12, 9.33, 6.94, 6.92, 
2016.11, 9.32, 6.89, 6.84, 
2016.10, 9.29, 6.76, 6.74, 
2016.9, 9.32, 6.68, 6.67, 
2016.8, 9.33, 6.69, 6.65, 
2016.7, 9.27, 6.65, 6.68, 
2016.6, 9.28, 6.63, 6.59, 
2016.5, 9.23, 6.58, 6.53, 
2016.4, 9.18, 6.46, 6.48, 
2016.3, 9.10, 6.46, 6.51, 
2016.2, 9.02, 6.55, 6.53, 
2016.1, 9.04, 6.55, 6.55, 
2015.12, 9.00, 6.49, 6.45, 
2015.11, 8.78, 6.40, 6.37, 
2015.10, 8.87, 6.35, 6.35, 
2015.9, 8.93, 6.36, 6.37, 
2015.8, 8.97, 6.39, 6.31, 
2015.7, 8.60, 6.12, 6.11, 
2015.6, 8.60, 6.11, 6.12, 
2015.5, 8.51, 6.12, 6.11, 
2015.4, 8.60, 6.11, 6.13, 
2015.3, 8.47, 6.14, 6.15, 
2015.2, 8.65, 6.15, 6.13, 
2015.1, 8.65, 6.14, 6.13, 
2014.12, 8.87, 6.12, 6.12, 
2014.11, 8.98, 6.13, 6.14, 
2014.10, 9.09, 6.15, 6.14, 
2014.9, 9.12, 6.15, 6.15, 
2014.8, 9.36, 6.16, 6.16, 
2014.7, 9.44, 6.17, 6.16, 
2014.6, 9.51, 6.15, 6.16, 
2014.5, 9.50, 6.17, 6.16, 
2014.4, 9.54, 6.16, 6.16, 
2014.3, 9.51, 6.15, 6.14, 
2014.2, 9.47, 6.12, 6.11, 
2014.1, 9.37, 6.11, 6.10, 
2013.12, 9.39, 6.10, 6.12, 
2013.11, 9.41, 6.13, 6.14, 
2013.10, 9.45, 6.14, 6.14, 
2013.9, 9.43, 6.15, 6.16, 
2013.8, 9.35, 6.17, 6.17, 
2013.7, 9.35, 6.18, 6.17, 
2013.6, 9.29, 6.18, 6.17, 
2013.5, 9.26, 6.18, 6.20, 
2013.4, 9.39, 6.22, 6.25, 
2013.3, 9.40, 6.27, 6.27, 
2013.2, 9.51, 6.28, 6.28, 
2013.1, 9.71, 6.30, 6.28, 
2012.12, 9.66, 6.29, 6.29, 
2012.11, 9.65, 6.29, 6.30, 
2012.10, 9.71, 6.30, 6.31, 
2012.9, 9.78, 6.34, 6.34, 
2012.8, 9.66, 6.34, 6.34, 
2012.7, 9.55, 6.33, 6.32, 
2012.6, 9.60, 6.32, 6.32, 
2012.5, 9.57, 6.34, 6.31, 
2012.4, 9.74, 6.28, 6.30, 
2012.3, 9.75, 6.29, 6.31, 
2012.2, 9.83, 6.29, 6.30, 
2012.1, 9.79, 6.31, 6.32, 
2011.12, 9.67, 6.30, 6.33, 
2011.11, 9.85, 6.35, 6.34, 
2011.10, 10.03, 6.32, 6.36, 
2011.9, 9.92, 6.35, 6.38, 
2011.8, 10.28, 6.37, 6.41, 
2011.7, 10.30, 6.44, 6.46, 
2011.6, 10.36, 6.47, 6.48, 
2011.5, 10.38, 6.48, 6.50, 
2011.4, 10.53, 6.50, 6.53, 
2011.3, 10.40, 6.56, 6.57, 
2011.2, 10.34, 6.58, 6.58, 
2011.1, 10.29, 6.59, 6.60, 
2010.12, 10.20, 6.62, 6.65, 
2010.11, 10.19, 6.68, 6.66, 
2010.10, 10.52, 6.69, 6.67, 
2010.9, 10.43, 6.70, 6.75, 
2010.8, 10.28, 6.81, 6.79, 
2010.7, 10.29, 6.78, 6.78, 
2010.6, 10.04, 6.79, 6.82, 
2010.5, 10.07, 6.83, 6.83, 
2010.4, 10.32, 6.83, 6.83, 
2010.3, 10.36, 6.83, 6.83, 
2010.2, 10.46, 6.83, 6.83, 
2010.1, 10.61, 6.83, 6.83, 
2009.12, 10.70, 6.83, 6.83, 
2009.11, 10.99, 6.83, 6.83, 
2009.10, 10.86, 6.83, 6.83, 
2009.9, 10.82, 6.83, 6.83, 
2009.8, 10.70, 6.83, 6.83, 
2009.7, 10.61, 6.83, 6.83, 
2009.6, 10.60, 6.83, 6.83, 
2009.5, 10.58, 6.83, 6.82, 
2009.4, 10.22, 6.83, 6.83, 
2009.3, 10.22, 6.84, 6.83, 
2009.2, 10.03, 6.84, 6.84, 
2009.1, 10.20, 6.84, 6.84, 
2008.12, 10.53, 6.83, 6.84, 
2008.11, 10.17, 6.83, 6.83, 
2008.10, 10.16, 6.83, 6.83, 
2008.9, 10.71, 6.82, 6.83, 
2008.8, 10.73, 6.83, 6.85, 
2008.7, 11.08, 6.84, 6.84, 
2008.6, 11.21, 6.86, 6.90, 
2008.5, 11.26, 6.95, 6.97, 
2008.4, 11.37, 7.00, 7.00, 
2008.3, 11.54, 7.02, 7.08, 
2008.2, 11.44, 7.11, 7.16, 
2008.1, 11.46, 7.19, 7.25, 
2007.12, 11.53, 7.30, 7.37, 
2007.11, 11.77, 7.40, 7.42, 
2007.10, 11.74, 7.47, 7.50, 
2007.9, 11.69, 7.51, 7.53, 
2007.8, 11.59, 7.56, 7.58, 
2007.7, 11.60, 7.57, 7.58, 
2007.6, 11.54, 7.62, 7.63, 
2007.5, 11.57, 7.65, 7.67, 
2007.4, 11.74, 7.71, 7.72, 
2007.3, 11.68, 7.73, 7.74, 
2007.2, 11.65, 7.74, 7.75, 
2007.1, 11.59, 7.78, 7.79, 
2006.12, 11.75, 7.81, 7.82, 
2006.11, 11.83, 7.84, 7.87, 
2006.10, 11.66, 7.88, 7.90, 
2006.9, 11.68, 7.91, 7.94, 
2006.8, 11.85, 7.96, 7.97, 
2006.7, 11.83, 7.97, 7.99, 
2006.6, 11.83, 8.00, 8.01, 
2006.5, 11.98, 8.02, 8.02, 
2006.4, 11.79, 8.02, 8.02, 
2006.3, 11.55, 8.02, 8.04, 
2006.2, 11.54, 8.04, 8.05, 
2006.1, 11.65, 8.06, 8.07, 
2005.12, 11.53, 8.07, 8.08, 
2005.11, 11.51, 8.08, 8.08, 
2005.10, 11.69, 8.08, 8.09, 
2005.9, 11.74, 8.09, 8.09, 
2005.8, 11.82, 8.10, 8.10, 
2005.7, 11.77, 8.11, 8.24, 
2005.6, 12.06, 8.28, 8.28, 
2005.5, 12.53, 8.28, 8.28, 
2005.4, 12.53, 8.28, 8.28, 
2005.3, 12.50, 8.28, 8.28, 
2005.2, 12.68, 8.28, 8.28, 
2005.1, 12.58, 8.28, 8.28, 
2004.12, 12.85, 8.28, 8.28, 
2004.11, 12.71, 8.28, 8.28, 
2004.10, 12.40, 8.28, 8.28, 
2004.9, 12.16, 8.28, 8.28, 
2004.8, 12.09, 8.28, 8.28, 
2004.7, 12.07, 8.28, 8.28, 
2004.6, 12.14, 8.28, 8.28, 
2004.5, 12.16, 8.28, 8.28, 
2004.4, 11.94, 8.28, 8.28, 
2004.3, 12.25, 8.28, 8.28, 
2004.2, 12.25, 8.28, 8.28, 
2004.1, 12.26, 8.28, 8.28, 
